,Date,Round,Home.Team,Home.Goals,Home.Behinds,P_Home,Away.Team,Away.Goals,Away.Behinds,P_Away,Venue,Margin,Season,Round.Type,home_win,Year,Team_Home,CP_Home,D_Home,CL_Home,I50_Home,MI5_Home,Team_Away,CP_Away,D_Away,CL_Away,I50_Away,MI5_Away,P_diff_5,CP_diff_5,D_diff_5,CL_diff_5,I50_diff_5,MI5_diff_5
45,2012-05-04,R6,Footscray,11,11,77,Collingwood,15,8,98,Docklands,-21,2012,Regular,0.0,2012,Footscray,156.0,393.0,38.0,51.0,7.0,Collingwood,164.0,375.0,44.0,55.0,10.0,,,,,,
46,2012-05-05,R6,Essendon,19,15,129,Brisbane Lions,9,8,62,Docklands,67,2012,Regular,1.0,2012,Essendon,155.0,461.0,44.0,68.0,10.0,Brisbane Lions,135.0,358.0,28.0,44.0,9.0,,,,,,
47,2012-05-05,R6,Geelong,17,17,119,Melbourne,11,10,76,Kardinia Park,43,2012,Regular,1.0,2012,Geelong,129.0,443.0,40.0,62.0,18.0,Melbourne,130.0,320.0,33.0,46.0,10.0,,,,,,
48,2012-05-05,R6,Gold Coast,14,3,87,Fremantle,14,10,94,Carrara,-7,2012,Regular,0.0,2012,Gold Coast,139.0,404.0,42.0,44.0,6.0,Fremantle,149.0,380.0,38.0,55.0,9.0,,,,,,
49,2012-05-05,R6,Sydney,14,10,94,Adelaide,15,9,99,S.C.G.,-5,2012,Regular,0.0,2012,Sydney,156.0,333.0,41.0,67.0,9.0,Adelaide,164.0,362.0,43.0,45.0,9.0,,,,,,
50,2012-05-05,R6,St Kilda,13,10,88,Hawthorn,18,15,123,M.C.G.,-35,2012,Regular,0.0,2012,St Kilda,134.0,326.0,37.0,45.0,13.0,Hawthorn,130.0,391.0,36.0,54.0,16.0,,,,,,
51,2012-05-06,R6,Carlton,15,20,110,GWS,6,7,43,Docklands,67,2012,Regular,1.0,2012,Carlton,144.0,376.0,28.0,63.0,20.0,GWS,131.0,347.0,41.0,33.0,9.0,,,,,,
52,2012-05-06,R6,Port Adelaide,8,6,54,Richmond,13,13,91,Football Park,-37,2012,Regular,0.0,2012,Port Adelaide,137.0,321.0,35.0,38.0,6.0,Richmond,135.0,395.0,41.0,55.0,13.0,,,,,,
53,2012-05-06,R6,West Coast,17,18,120,North Melbourne,15,5,95,Subiaco,25,2012,Regular,1.0,2012,West Coast,149.0,352.0,49.0,60.0,13.0,North Melbourne,148.0,362.0,36.0,43.0,5.0,,,,,,
54,2012-05-11,R7,Melbourne,6,13,49,Hawthorn,15,25,115,M.C.G.,-66,2012,Regular,0.0,2012,Melbourne,105.0,259.0,22.0,36.0,10.0,Hawthorn,157.0,424.0,40.0,64.0,18.0,,,,,,
