"Date","Round","Home.Team","Home.Goals","Home.Behinds","Home.Points","Away.Team","Away.Goals","Away.Behinds","Away.Points","Venue","Margin","Season","Round.Type"
"2013-08-18","R21","Footscray",20,11,131,"Adelaide",17,12,114,"Docklands",17,2013,"Regular"
"2013-08-23","R22","Collingwood",15,11,101,"West Coast",5,9,39,"M.C.G.",62,2013,"Regular"
"2013-08-24","R22","Adelaide",18,12,120,"Melbourne",7,10,52,"Football Park",68,2013,"Regular"
"2013-08-24","R22","North Melbourne",15,13,103,"Hawthorn",17,15,117,"Docklands",-14,2013,"Regular"
"2013-08-24","R22","Geelong",13,14,92,"Sydney",7,6,48,"Kardinia Park",44,2013,"Regular"
"2013-08-24","R22","Carlton",9,22,76,"Essendon",12,10,82,"M.C.G.",-6,2013,"Regular"
"2013-08-24","R22","Fremantle",21,8,134,"Port Adelaide",9,6,60,"Subiaco",74,2013,"Regular"
"2013-08-25","R22","St Kilda",17,14,116,"Gold Coast",10,10,70,"Docklands",46,2013,"Regular"
"2013-08-25","R22","GWS",6,6,42,"Richmond",25,13,163,"Sydney Showground",-121,2013,"Regular"
"2013-08-25","R22","Brisbane Lions",15,10,100,"Footscray",13,15,93,"Gabba",7,2013,"Regular"
"2013-08-30","R23","Sydney",16,4,100,"Hawthorn",17,10,112,"Stadium Australia",-12,2013,"Regular"
"2013-08-31","R23","St Kilda",16,16,112,"Fremantle",6,5,41,"Docklands",71,2013,"Regular"
"2013-08-31","R23","Geelong",15,22,112,"Brisbane Lions",17,9,111,"Kardinia Park",1,2013,"Regular"
"2013-08-31","R23","Port Adelaide",15,13,103,"Carlton",15,14,104,"Football Park",-1,2013,"Regular"
"2013-08-31","R23","Essendon",9,11,65,"Richmond",15,14,104,"M.C.G.",-39,2013,"Regular"
"2013-08-31","R23","West Coast",5,13,43,"Adelaide",19,15,129,"Subiaco",-86,2013,"Regular"
"2013-09-01","R23","Gold Coast",22,14,146,"GWS",9,9,63,"Carrara",83,2013,"Regular"
"2013-09-01","R23","Collingwood",17,12,114,"North Melbourne",19,11,125,"M.C.G.",-11,2013,"Regular"
"2013-09-01","R23","Footscray",16,11,107,"Melbourne",13,9,87,"Docklands",20,2013,"Regular"
"2013-09-06","QF","Hawthorn",15,15,105,"Sydney",7,9,51,"M.C.G.",54,2013,"Finals"
"2013-09-07","QF","Fremantle",12,15,87,"Geelong",9,18,72,"Kardinia Park",15,2013,"Finals"
"2013-09-07","EF","Port Adelaide",12,15,87,"Collingwood",9,9,63,"M.C.G.",24,2013,"Finals"
"2013-09-08","EF","Carlton",18,8,116,"Richmond",14,12,96,"M.C.G.",20,2013,"Finals"
"2013-09-13","SF","Geelong",13,18,96,"Port Adelaide",12,8,80,"M.C.G.",16,2013,"Finals"
"2013-09-14","SF","Sydney",13,8,86,"Carlton",8,14,62,"Stadium Australia",24,2013,"Finals"
"2013-09-20","PF","Hawthorn",14,18,102,"Geelong",15,7,97,"M.C.G.",5,2013,"Finals"
